Index	Direction	Timesteamp	ID	Format	Type	Length	Data	
0	Receive	 14:17:00.267.0	0x1dff1d03	Data	Extend	8	E1 12 05 51 29 F7 91 5C 
1	Receive	 14:17:00.267.0	0x1dff1d03	Data	Extend	8	E2 12 FF FF FF 7F 2C 07 
2	Receive	 14:17:00.267.0	0x1dff1d03	Data	Extend	8	E3 CE 0D 58 28 CC 10 FF 
3	Receive	 14:17:00.267.0	0x1dff1d03	Data	Extend	8	E4 FF FF 7F 2C 0D 1B 31 
4	Receive	 14:17:00.267.0	0x1dff1d03	Data	Extend	8	E5 09 D1 88 13 FF FF FF 
5	Receive	 14:17:00.267.0	0x1dff1d03	Data	Extend	8	E6 7F 2C 0E D8 1F 39 52 
6	Receive	 14:17:00.267.0	0x1dff1d03	Data	Extend	8	E7 5C 12 FF FF FF 7F 2C 
7	Receive	 14:17:00.267.0	0x1dff1d03	Data	Extend	8	E8 0F 31 1B E2 C8 94 11 
8	Receive	 14:17:00.267.0	0x09fd0220	Data	Extend	8	FF 4D 00 8B 18 FA FF FF 
9	Receive	 14:17:00.267.0	0x1dff1d03	Data	Extend	8	E9 FF FF FF 7F 2C 12 FB 
10	Receive	 14:17:00.267.0	0x1dff1d03	Data	Extend	8	EA 0B B4 D1 CC 10 FF FF 
11	Receive	 14:17:00.267.0	0x1dff1d03	Data	Extend	8	EB FF 7F 0C 14 E5 16 9C 
12	Receive	 14:17:00.267.0	0x1dff1d03	Data	Extend	8	EC 7D 94 11 FF FF FF 7F 
13	Receive	 14:17:00.267.0	0x1dff1d03	Data	Extend	8	ED 2C 15 4F 1A DE 74 F8 
14	Receive	 14:17:00.267.0	0x1dff1d03	Data	Extend	8	EE 11 FF FF FF 7F 2C 16 
15	Receive	 14:17:00.267.0	0x1dff1d03	Data	Extend	8	EF D3 19 F5 5F 5C 12 FF 
16	Receive	 14:17:00.267.0	0x1dff1d03	Data	Extend	8	F0 FF FF 7F 2C 18 8D 03 
17	Receive	 14:17:00.267.0	0x1dff1d03	Data	Extend	8	F1 75 A5 10 0E FF FF FF 
18	Receive	 14:17:00.267.0	0x1dff1d03	Data	Extend	8	F2 7F 00 1E 5D 21 8E 2A 
19	Receive	 14:17:00.267.0	0x1dff1d03	Data	Extend	8	F3 F8 11 FF FF FF 7F 2C 
20	Receive	 14:17:00.267.0	0x1dff1d03	Data	Extend	8	F4 22 80 16 CF 7E 00 00 
21	Receive	 14:17:00.267.0	0x1dff1d03	Data	Extend	8	F5 FF FF FF 7F 00 8A FC 
22	Receive	 14:17:00.267.0	0x1dff1d03	Data	Extend	8	F6 27 01 3B 5C 12 FF FF 
23	Receive	 14:17:00.267.0	0x1dff1d03	Data	Extend	8	F7 FF 7F 2C 8F FE 0C AE 
24	Receive	 14:17:00.267.0	0x1dff1d03	Data	Extend	8	F8 D9 48 0D FF FF FF 7F 
25	Receive	 14:17:00.267.0	0x1dff1d03	Data	Extend	8	F9 00 9E 5E 13 EE 68 94 
26	Receive	 14:17:00.267.0	0x1dff1d03	Data	Extend	8	FA 11 FF FF FF 7F 0C A0 
27	Receive	 14:17:00.267.0	0x1dff1d03	Data	Extend	8	FB 38 2A B6 C7 24 13 FF 
28	Receive	 14:17:00.267.0	0x1dff1d03	Data	Extend	8	FC FF FF 7F 2C A1 47 1D 
29	Receive	 14:17:00.267.0	0x1dff1d03	Data	Extend	8	FD 53 3E 5C 12 FF FF FF 
30	Receive	 14:17:00.282.0	0x1dff1d03	Data	Extend	8	FE 7F 2C A4 16 13 8C B2 
31	Receive	 14:17:00.282.0	0x1dff1d03	Data	Extend	8	FF 94 11 FF FF FF 7F 2C 
32	Receive	 14:17:00.282.0	0x0df11903	Data	Extend	8	FF C9 0A F2 00 37 00 FF 
33	Receive	 14:17:00.282.0	0x09f11203	Data	Extend	8	FF C9 0A FF 7F B8 00 FC 
34	Receive	 14:17:00.282.0	0x19fa0403	Data	Extend	8	80 93 FF FF 0C 05 51 29 
35	Receive	 14:17:00.282.0	0x19fa0403	Data	Extend	8	81 F7 91 F8 11 FF FF FF 
36	Receive	 14:17:00.282.0	0x19fa0403	Data	Extend	8	82 7F F5 07 CE 0D 58 28 
37	Receive	 14:17:00.282.0	0x19fa0403	Data	Extend	8	83 CC 10 FF FF FF 7F F5 
38	Receive	 14:17:00.282.0	0x19fa0403	Data	Extend	8	84 0D 1B 31 09 D1 5C 12 
39	Receive	 14:17:00.282.0	0x19fa0403	Data	Extend	8	85 FF FF FF 7F F5 0E D8 
40	Receive	 14:17:00.282.0	0x19fa0403	Data	Extend	8	86 1F 39 52 94 11 FF FF 
41	Receive	 14:17:00.282.0	0x19fa0403	Data	Extend	8	87 FF 7F F5 0F 31 1B E2 
42	Receive	 14:17:00.282.0	0x19fa0403	Data	Extend	8	88 C8 5C 12 FF FF FF 7F 
43	Receive	 14:17:00.282.0	0x19fa0403	Data	Extend	8	89 F5 12 FB 0B B4 D1 94 
44	Receive	 14:17:00.282.0	0x19fa0403	Data	Extend	8	8A 11 FF FF FF 7F F5 14 
45	Receive	 14:17:00.282.0	0x19fa0403	Data	Extend	8	8B E5 16 9C 7D 30 11 FF 
46	Receive	 14:17:00.282.0	0x19fa0403	Data	Extend	8	8C FF FF 7F F5 15 4F 1A 
47	Receive	 14:17:00.282.0	0x19fa0403	Data	Extend	8	8D DE 74 30 11 FF FF FF 
48	Receive	 14:17:00.282.0	0x19fa0403	Data	Extend	8	8E 7F F5 16 D3 19 F5 5F 
49	Receive	 14:17:00.282.0	0x19fa0403	Data	Extend	8	8F C0 12 FF FF FF 7F F5 
50	Receive	 14:17:00.282.0	0x19fa0403	Data	Extend	8	90 18 8D 03 75 A5 E4 0C 
51	Receive	 14:17:00.282.0	0x19fa0403	Data	Extend	8	91 FF FF FF 7F F4 1E 5D 
52	Receive	 14:17:00.282.0	0x19fa0403	Data	Extend	8	92 21 8E 2A 5C 12 FF FF 
53	Receive	 14:17:00.282.0	0x19fa0403	Data	Extend	8	93 FF 7F F5 22 80 16 CF 
54	Receive	 14:17:00.282.0	0x19fa0403	Data	Extend	8	94 7E CC 10 FF FF FF 7F 
55	Receive	 14:17:00.282.0	0x19fa0403	Data	Extend	8	95 F4 FF FF FF FF FF FF 
56	Receive	 14:17:00.282.0	0x1cff0003	Data	Extend	8	3F 9F 31 00 00 00 FF FF 
57	Receive	 14:17:00.298.0	0x09f11303	Data	Extend	8	FF E8 14 FF FF FF FF FF 
58	Receive	 14:17:00.298.0	0x0df11403	Data	Extend	8	FF 05 00 FF FF FF FF FF 
59	Receive	 14:17:00.298.0	0x1dff1a03	Data	Extend	8	C0 1D 3F 9F F2 FF FF FF 
60	Receive	 14:17:00.298.0	0x1dff1a03	Data	Extend	8	C1 E1 FF FF FF 28 00 00 
61	Receive	 14:17:00.298.0	0x1dff1a03	Data	Extend	8	C2 00 00 70 00 00 00 A2 
62	Receive	 14:17:00.298.0	0x1dff1a03	Data	Extend	8	C3 FF FF FF AE FF FF FF 
63	Receive	 14:17:00.298.0	0x1dff1a03	Data	Extend	8	C4 00 00 FF FF FF FF FF 
64	Receive	 14:17:00.298.0	0x1dff1b03	Data	Extend	8	20 0A 3F 9F 37 00 74 00 
65	Receive	 14:17:00.298.0	0x1dff1b03	Data	Extend	8	21 11 00 3B 00 FF FF FF 
66	Receive	 14:17:00.298.0	0x09f80203	Data	Extend	8	FF FC 40 9C 01 00 FF FF 
67	Receive	 14:17:00.298.0	0x08ff3e14	Data	Extend	8	41 9F 13 01 00 00 00 FC 
68	Receive	 14:17:00.298.0	0x04ff1914	Data	Extend	8	41 9F 64 0A 08 00 00 00 
69	Receive	 14:17:00.313.0	0x09f10d1c	Data	Extend	8	FF FF FF 7F AE 01 FF FF 
70	Receive	 14:17:00.329.0	0x09f80103	Data	Extend	8	47 71 52 1D 86 39 CF FF 
71	Receive	 14:17:00.329.0	0x15fd0603	Data	Extend	8	FF FF FF 9F 70 03 04 FF 
