Index	Direction	Timesteamp	ID	Format	Type	Length	Data	
1300000	Receive	 15:10:16.081.0	0x11f80f09	Data	Extend	8	43 26 FF FF 00 74 FF BD 
1300001	Receive	 15:10:16.081.0	0x09fd0220	Data	Extend	8	FF 4E 01 2D 26 FA FF FF 
1300002	Receive	 15:10:16.081.0	0x09f10d1c	Data	Extend	8	FF FF FF 7F CF F7 FF FF 
1300003	Receive	 15:10:16.081.0	0x19f51323	Data	Extend	8	A0 0E FF FF FF FF FF FF 
1300004	Receive	 15:10:16.081.0	0x09fe1203	Data	Extend	8	60 0C FF 7F FF 7F B1 05 
1300005	Receive	 15:10:16.081.0	0x09fe1203	Data	Extend	8	61 1C 00 FF 7F 21 02 FF 
1300006	Receive	 15:10:16.081.0	0x19f51323	Data	Extend	8	A1 8F 21 03 00 8F 21 03 
1300007	Receive	 15:10:16.081.0	0x09f80109	Data	Extend	8	D5 D1 50 1D 45 87 CC FF 
1300008	Receive	 15:10:16.081.0	0x19f51323	Data	Extend	8	A2 00 FF FF FF FF FF FF 
1300009	Receive	 15:10:16.081.0	0x09f8010c	Data	Extend	8	C0 D1 50 1D 4F 87 CC FF 
1300010	Receive	 15:10:16.102.0	0x09f80103	Data	Extend	8	AC D1 50 1D 7B 87 CC FF 
1300011	Receive	 15:10:16.102.0	0x1dff1d03	Data	Extend	8	A0 97 3F 9F 24 22 FF 15 
1300012	Receive	 15:10:16.102.0	0x1dff1d03	Data	Extend	8	A1 1E 4B D6 07 17 18 3C 
1300013	Receive	 15:10:16.118.0	0x1dff1d03	Data	Extend	8	A2 0F FF FF FF 7F 12 4C 
1300014	Receive	 15:10:16.118.0	0x1dff1d03	Data	Extend	8	A3 53 2E 3A 24 F8 11 FF 
1300015	Receive	 15:10:16.118.0	0x1dff1d03	Data	Extend	8	A4 FF FF 7F 12 4D 7E 26 
1300016	Receive	 15:10:16.118.0	0x1dff1d03	Data	Extend	8	A5 FD 88 3C 0F FF FF FF 
1300017	Receive	 15:10:16.118.0	0x1dff1d03	Data	Extend	8	A6 7F 12 53 F4 05 B7 D5 
1300018	Receive	 15:10:16.118.0	0x1dff1d03	Data	Extend	8	A7 74 0E FF FF FF 7F 10 
1300019	Receive	 15:10:16.118.0	0x1dff1d03	Data	Extend	8	A8 54 F1 05 7D 01 E4 0C 
1300020	Receive	 15:10:16.118.0	0x1dff1d03	Data	Extend	8	A9 FF FF FF 7F 00 8A C0 
1300021	Receive	 15:10:16.118.0	0x1dff1d03	Data	Extend	8	AA 1C FC 47 5C 12 FF FF 
1300022	Receive	 15:10:16.118.0	0x1cff1912	Data	Extend	8	41 9F 64 03 00 00 00 00 
1300023	Receive	 15:10:16.118.0	0x0df50b23	Data	Extend	8	FF 1E 03 00 00 00 00 0E 
1300024	Receive	 15:10:16.118.0	0x1dff1d03	Data	Extend	8	AB FF 7F 14 8D 90 09 DD 
1300025	Receive	 15:10:16.118.0	0x1dff1d03	Data	Extend	8	AC DC 3C 0F FF FF FF 7F 
1300026	Receive	 15:10:16.118.0	0x15fd0c23	Data	Extend	8	FF 00 00 DB 6A 04 FF FF 
1300027	Receive	 15:10:16.118.0	0x1dff1d03	Data	Extend	8	AD 00 8F BD 0C EA CC D8 
1300028	Receive	 15:10:16.118.0	0x1dff1d03	Data	Extend	8	AE 0E FF FF FF 7F 00 96 
1300029	Receive	 15:10:16.119.0	0x1dff1d03	Data	Extend	8	AF E9 14 19 C8 D8 0E FF 
1300030	Receive	 15:10:16.119.0	0x1dff1d03	Data	Extend	8	B0 FF FF 7F 00 9E F9 20 
1300031	Receive	 15:10:16.119.0	0x1dff1d03	Data	Extend	8	B1 1E 62 C0 12 FF FF FF 
1300032	Receive	 15:10:16.119.0	0x1dff1d03	Data	Extend	8	B2 7F 14 A0 62 36 F4 D5 
1300033	Receive	 15:10:16.119.0	0x1dff1d03	Data	Extend	8	B3 C0 12 FF FF FF 7F 00 
1300034	Receive	 15:10:16.119.0	0x1dff1d03	Data	Extend	8	B4 A1 DB 1C 70 2C 94 11 
1300035	Receive	 15:10:16.119.0	0x1dff1d03	Data	Extend	8	B5 FF FF FF 7F 14 FF FF 
1300036	Receive	 15:10:16.119.0	0x09f10514	Data	Extend	8	00 15 30 38 FF FF 7F FF 
1300037	Receive	 15:10:16.119.0	0x09f10514	Data	Extend	8	01 FF FF FF D1 06 D1 06 
1300038	Receive	 15:10:16.119.0	0x09f10514	Data	Extend	8	02 FF 7F FF 7F FF 7F FF 
1300039	Receive	 15:10:16.119.0	0x09f10514	Data	Extend	8	03 FF FF FF FF FF FF FF 
1300040	Receive	 15:10:16.119.0	0x09f10d14	Data	Extend	8	FF 00 8C FA FF 7F FF FF 
1300041	Receive	 15:10:16.134.0	0x0df80509	Data	Extend	8	A0 2B BD 99 4F 70 F4 42 
1300042	Receive	 15:10:16.134.0	0x0df80509	Data	Extend	8	A1 1C 00 00 00 00 20 5A 
1300043	Receive	 15:10:16.134.0	0x0df80509	Data	Extend	8	A2 D3 06 00 00 00 C0 0D 
1300044	Receive	 15:10:16.134.0	0x0df80509	Data	Extend	8	A3 04 F4 FF 00 00 E6 00 
1300045	Receive	 15:10:16.134.0	0x0df80509	Data	Extend	8	A4 00 00 00 00 10 FC 0B 
1300046	Receive	 15:10:16.134.0	0x0df80509	Data	Extend	8	A5 56 00 97 00 EE 11 00 
1300047	Receive	 15:10:16.134.0	0x0df80509	Data	Extend	8	A6 00 FF FF FF FF FF FF 
1300048	Receive	 15:10:16.134.0	0x19fa0409	Data	Extend	8	A0 93 BD FF 0C 05 8B 18 
1300049	Receive	 15:10:16.134.0	0x09f10d1c	Data	Extend	8	FF FF FF 7F CF F7 FF FF 
1300050	Receive	 15:10:16.135.0	0x19fa0409	Data	Extend	8	A1 F1 84 30 11 FF FF FF 
1300051	Receive	 15:10:16.135.0	0x19fa0409	Data	Extend	8	A2 7F F2 0D 8A 36 D0 33 
1300052	Receive	 15:10:16.135.0	0x19fa0409	Data	Extend	8	A3 A0 0F FF FF FF 7F F2 
1300053	Receive	 15:10:16.135.0	0x19fa0409	Data	Extend	8	A4 0E 73 23 44 39 24 13 
1300054	Receive	 15:10:16.135.0	0x19fa0409	Data	Extend	8	A5 FF FF FF 7F F2 0F A2 
1300055	Receive	 15:10:16.135.0	0x19fa0409	Data	Extend	8	A6 2B 70 C8 94 11 FF FF 
1300056	Receive	 15:10:16.135.0	0x19fa0409	Data	Extend	8	A7 FF 7F F2 11 BA 02 0A 
1300057	Receive	 15:10:16.150.0	0x19fa0409	Data	Extend	8	A8 4D 30 11 FF FF FF 7F 
1300058	Receive	 15:10:16.150.0	0x19fa0409	Data	Extend	8	A9 F1 12 2E 08 4D C2 D8 
1300059	Receive	 15:10:16.150.0	0x19fa0409	Data	Extend	8	AA 0E FF FF FF 7F F2 14 
1300060	Receive	 15:10:16.150.0	0x19fa0409	Data	Extend	8	AB D1 06 B7 7A CC 10 FF 
1300061	Receive	 15:10:16.150.0	0x19fa0409	Data	Extend	8	AC FF FF 7F F2 15 8B 09 
1300062	Receive	 15:10:16.150.0	0x19fa0409	Data	Extend	8	AD 95 74 30 11 FF FF FF 
1300063	Receive	 15:10:16.150.0	0x19fa0409	Data	Extend	8	AE 7F F2 16 7F 25 5B 4C 
1300064	Receive	 15:10:16.150.0	0x19fa0409	Data	Extend	8	AF EC 13 FF FF FF 7F F2 
1300065	Receive	 15:10:16.150.0	0x19f21448	Data	Extend	8	48 56 13 65 FE 07 76 FF 
1300066	Receive	 15:10:16.150.0	0x19fa0409	Data	Extend	8	B0 17 5C 10 70 D7 30 11 
1300067	Receive	 15:10:16.150.0	0x19f11a03	Data	Extend	8	FF F7 55 47 B8 00 FF FF 
1300068	Receive	 15:10:16.150.0	0x0df11903	Data	Extend	8	FF 12 13 27 01 DD FF FF 
1300069	Receive	 15:10:16.150.0	0x09f11203	Data	Extend	8	FF 12 13 FF 7F B8 00 FC 
1300070	Receive	 15:10:16.150.0	0x19fa0409	Data	Extend	8	B1 FF FF FF 7F F2 18 0B 
1300071	Receive	 15:10:16.150.0	0x1cff0003	Data	Extend	8	3F 9F 15 00 00 00 FF FF 
1300072	Receive	 15:10:16.150.0	0x04ff1914	Data	Extend	8	41 9F 64 02 C2 01 00 00 
1300073	Receive	 15:10:16.150.0	0x18ff3d13	Data	Extend	8	41 9F FF FF 0E FF 00 FF 
1300074	Receive	 15:10:16.150.0	0x19fa0409	Data	Extend	8	B2 11 2B AD 68 10 FF FF 
1300075	Receive	 15:10:16.150.0	0x19fa0409	Data	Extend	8	B3 FF 7F F2 1E 68 12 AD 
1300076	Receive	 15:10:16.150.0	0x19fa0409	Data	Extend	8	B4 2D CC 10 FF FF FF 7F 
1300077	Receive	 15:10:16.150.0	0x19fa0409	Data	Extend	8	B5 F2 FF FF FF FF FF FF 
1300078	Receive	 15:10:16.166.0	0x09f11303	Data	Extend	8	FF 09 3A D9 FF FF FF FF 
1300079	Receive	 15:10:16.166.0	0x0df11403	Data	Extend	8	FF 02 00 FF FF FF FF FF 
1300080	Receive	 15:10:16.166.0	0x1dff1a03	Data	Extend	8	A0 1D 3F 9F F8 FF FF FF 
1300081	Receive	 15:10:16.166.0	0x1dff1a03	Data	Extend	8	A1 29 FF FF FF 2F 00 00 
1300082	Receive	 15:10:16.166.0	0x1dff1a03	Data	Extend	8	A2 00 00 F4 01 00 00 FD 
1300083	Receive	 15:10:16.166.0	0x1dff1a03	Data	Extend	8	A3 FD FF FF 5C EE FF FF 
1300084	Receive	 15:10:16.166.0	0x1dff1a03	Data	Extend	8	A4 00 00 FF FF FF FF FF 
1300085	Receive	 15:10:16.166.0	0x1dff1b03	Data	Extend	8	00 0A 3F 9F DD FF 55 00 
1300086	Receive	 15:10:16.166.0	0x1dff1b03	Data	Extend	8	01 42 00 24 00 FF FF FF 
1300087	Receive	 15:10:16.166.0	0x09fd0219	Data	Extend	8	FF 4E 01 2D 26 FA FF FF 
1300088	Receive	 15:10:16.166.0	0x09fd0220	Data	Extend	8	FF 4E 01 2D 26 FA FF FF 
1300089	Receive	 15:10:16.182.0	0x1dff2c14	Data	Extend	8	60 17 41 9F 00 67 00 00 
1300090	Receive	 15:10:16.182.0	0x1dff2c14	Data	Extend	8	61 00 FF FF FF 7F FF FF 
1300091	Receive	 15:10:16.182.0	0x1dff2c14	Data	Extend	8	62 FF FF FF FF FF 7F 0D 
1300092	Receive	 15:10:16.182.0	0x1dff2c14	Data	Extend	8	63 04 F4 FF FF FF FF FF 
1300093	Receive	 15:10:16.182.0	0x09f10d1c	Data	Extend	8	FF FF FF 7F CF F7 FF FF 
1300094	Receive	 15:10:16.182.0	0x09f80109	Data	Extend	8	D5 D1 50 1D 45 87 CC FF 
1300095	Receive	 15:10:16.182.0	0x09f8010c	Data	Extend	8	C0 D1 50 1D 4F 87 CC FF 
1300096	Receive	 15:10:16.182.0	0x09f80209	Data	Extend	8	BD FC D4 1C 95 00 FF FF 
1300097	Receive	 15:10:16.182.0	0x09f8020c	Data	Extend	8	BD FC C5 1C 90 00 FF FF 
1300098	Receive	 15:10:16.198.0	0x19f21445	Data	Extend	8	45 1E 05 A0 FF 78 1E FF 
1300099	Receive	 15:10:16.198.0	0x09f80103	Data	Extend	8	B8 D1 50 1D 84 87 CC FF 
1300100	Receive	 15:10:16.214.0	0x0df50b23	Data	Extend	8	FF 1E 03 00 00 00 00 0E 
1300101	Receive	 15:10:16.230.0	0x18ff3d14	Data	Extend	8	41 9F FF FF 02 FF FF FF 
1300102	Receive	 15:10:16.230.0	0x09f10d1c	Data	Extend	8	FF FF FF 7F CF F7 FF FF 
1300103	Receive	 15:10:16.230.0	0x1dff1d03	Data	Extend	8	C0 DF 3F 9F 34 12 FF 0F 
1300104	Receive	 15:10:16.230.0	0x1dff1d03	Data	Extend	8	C1 15 05 E9 18 80 85 F8 
1300105	Receive	 15:10:16.230.0	0x1dff1d03	Data	Extend	8	C2 11 FF FF FF 7F 2C 0D 
1300106	Receive	 15:10:16.230.0	0x1dff1d03	Data	Extend	8	C3 91 36 23 34 24 13 FF 
1300107	Receive	 15:10:16.230.0	0x1dff1d03	Data	Extend	8	C4 FF FF 7F 2C 0E 92 23 
1300108	Receive	 15:10:16.230.0	0x1dff1d03	Data	Extend	8	C5 72 38 94 11 FF FF FF 
1300109	Receive	 15:10:16.230.0	0x1dff1d03	Data	Extend	8	C6 7F 2C 0F D0 2B 1D C9 
1300110	Receive	 15:10:16.230.0	0x1dff1d03	Data	Extend	8	C7 24 13 FF FF FF 7F 2C 
1300111	Receive	 15:10:16.246.0	0x1dff1d03	Data	Extend	8	C8 11 51 03 68 4D 00 00 
1300112	Receive	 15:10:16.246.0	0x1dff1d03	Data	Extend	8	C9 FF FF FF 7F 00 12 E8 
1300113	Receive	 15:10:16.246.0	0x1dff1d03	Data	Extend	8	CA 07 58 C2 10 0E FF FF 
1300114	Receive	 15:10:16.246.0	0x18ea4512	Data	Extend	3	00 EE 00 
1300115	Receive	 15:10:16.246.0	0x1dff1d03	Data	Extend	8	CB FF 7F 2C 14 93 06 17 
1300116	Receive	 15:10:16.246.0	0x1dff1d03	Data	Extend	8	CC 7B 30 11 FF FF FF 7F 
1300117	Receive	 15:10:16.246.0	0x1dff1d03	Data	Extend	8	CD 2C 15 90 09 E3 74 94 
1300118	Receive	 15:10:16.246.0	0x1dff1d03	Data	Extend	8	CE 11 FF FF FF 7F 2C 16 
1300119	Receive	 15:10:16.246.0	0x1dff1d03	Data	Extend	8	CF 87 25 FD 4B 24 13 FF 
1300120	Receive	 15:10:16.246.0	0x1dff1d03	Data	Extend	8	D0 FF FF 7F 2C 17 7C 10 
1300121	Receive	 15:10:16.246.0	0x1dff1d03	Data	Extend	8	D1 F9 D7 94 11 FF FF FF 
1300122	Receive	 15:10:16.246.0	0x1dff1d03	Data	Extend	8	D2 7F 2C 18 77 11 0A AE 
1300123	Receive	 15:10:16.246.0	0x1dff1d03	Data	Extend	8	D3 68 10 FF FF FF 7F 2C 
1300124	Receive	 15:10:16.246.0	0x1dff1d03	Data	Extend	8	D4 1E 69 12 FD 2D 68 10 
1300125	Receive	 15:10:16.246.0	0x1dff1d03	Data	Extend	8	D5 FF FF FF 7F 2C 22 80 
1300126	Receive	 15:10:16.246.0	0x1dff1d03	Data	Extend	8	D6 16 CF 7E 00 00 FF FF 
1300127	Receive	 15:10:16.246.0	0x1dff1d03	Data	Extend	8	D7 FF 7F 00 31 80 16 44 
1300128	Receive	 15:10:16.246.0	0x1dff1d03	Data	Extend	8	D8 75 00 00 FF FF FF 7F 
1300129	Receive	 15:10:16.246.0	0x1dff1d03	Data	Extend	8	D9 00 8A C0 1C FC 47 5C 
1300130	Receive	 15:10:16.246.0	0x1dff1d03	Data	Extend	8	DA 12 FF FF FF 7F 0C 8D 
1300131	Receive	 15:10:16.246.0	0x1dff1d03	Data	Extend	8	DB 90 09 DD DC 04 10 FF 
1300132	Receive	 15:10:16.246.0	0x1dff1d03	Data	Extend	8	DC FF FF 7F 00 8F BD 0C 
1300133	Receive	 15:10:16.246.0	0x1dff1d03	Data	Extend	8	DD EA CC E4 0C FF FF FF 
1300134	Receive	 15:10:16.246.0	0x1dff1d03	Data	Extend	8	DE 7F 00 96 E9 14 19 C8 
1300135	Receive	 15:10:16.246.0	0x1dff1d03	Data	Extend	8	DF 3C 0F FF FF FF 7F 00 
1300136	Receive	 15:10:16.246.0	0x0df11903	Data	Extend	8	FF C0 12 30 01 D7 FF FF 
1300137	Receive	 15:10:16.247.0	0x09f11203	Data	Extend	8	FF C0 12 FF 7F B8 00 FC 
1300138	Receive	 15:10:16.247.0	0x19fa0403	Data	Extend	8	00 AB FF FF 0E 05 E9 18 
1300139	Receive	 15:10:16.247.0	0x19fa0403	Data	Extend	8	01 80 85 94 11 FF FF FF 
1300140	Receive	 15:10:16.261.0	0x19fa0403	Data	Extend	8	02 7F F5 0D 91 36 23 34 
