Index	Direction	Timesteamp	ID	Format	Type	Length	Data	
2690000	Receive	 15:49:59.978.0	0x1dff1d03	Data	Extend	8	39 00 42 DC 1C 4E 62 94 
2690001	Receive	 15:49:59.978.0	0x1dff1d03	Data	Extend	8	3A 11 FF FF FF 7F 12 43 
2690002	Receive	 15:49:59.978.0	0x1dff1d03	Data	Extend	8	3B 15 33 32 D6 5C 12 FF 
2690003	Receive	 15:49:59.978.0	0x1dff1d03	Data	Extend	8	3C FF FF 7F 12 44 26 10 
2690004	Receive	 15:49:59.978.0	0x1dff1d03	Data	Extend	8	3D 48 DB 68 10 FF FF FF 
2690005	Receive	 15:49:59.978.0	0x1dff1d03	Data	Extend	8	3E 7F 12 4C 63 20 F6 1B 
2690006	Receive	 15:49:59.978.0	0x1dff1d03	Data	Extend	8	3F 94 11 FF FF FF 7F 12 
2690007	Receive	 15:49:59.978.0	0x08ff3e14	Data	Extend	8	41 9F 13 01 00 00 FF FF 
2690008	Receive	 15:49:59.978.0	0x09f80103	Data	Extend	8	88 62 51 1D 8B FB CD FF 
2690009	Receive	 15:50:00.008.0	0x09f10d1c	Data	Extend	8	FF FF FF 7F BD FF FF FF 
2690010	Receive	 15:50:00.008.0	0x09f80203	Data	Extend	8	FF FC FE A8 14 00 FF FF 
2690011	Receive	 15:50:00.008.0	0x19f21448	Data	Extend	8	48 24 13 00 00 A3 75 FF 
2690012	Receive	 15:50:00.032.0	0x09fd0219	Data	Extend	8	FF FC 00 73 41 FA FF FF 
2690013	Receive	 15:50:00.032.0	0x0df50b23	Data	Extend	8	FF 87 03 00 00 00 00 0E 
2690014	Receive	 15:50:00.032.0	0x19f51323	Data	Extend	8	A0 0E FF FF FF FF FF FF 
2690015	Receive	 15:50:00.032.0	0x09fd0220	Data	Extend	8	FF FC 00 73 41 FA FF FF 
2690016	Receive	 15:50:00.032.0	0x19f51323	Data	Extend	8	A1 6B 29 03 00 6B 29 03 
2690017	Receive	 15:50:00.032.0	0x0df11903	Data	Extend	8	FF 92 04 30 01 07 00 FF 
2690018	Receive	 15:50:00.032.0	0x09f11203	Data	Extend	8	FF 92 04 FF 7F B8 00 FC 
2690019	Receive	 15:50:00.032.0	0x1cff0003	Data	Extend	8	3F 9F 41 00 00 00 FF FF 
2690020	Receive	 15:50:00.032.0	0x19fa0303	Data	Extend	8	FF D3 32 00 32 00 FF 7F 
2690021	Receive	 15:50:00.032.0	0x18ff3d13	Data	Extend	8	41 9F FF FF 0E FF 00 FF 
