signal,min,max
pitch,0.567228217179515,3.0653242039499045
depth,1.76,8.28
wind_speed,0.0,6.43
yaw,-179.26703494053197,179.79415611205235
wind_angle,0.0,358.99816569511995
heading,0.0859436692696234,359.9779235247936
cog,0.0057295779513082,359.8117657642057
variation,1.0485127650894066,1.0542423430407146
sog,0.0,2.57
longitude,-0.3435935,-0.319646
rudder_angle_order,-7.998490820026292,0.0
latitude,49.183434,49.1942613
roll,-2.102755108130121,1.4839606893888324
rate_of_turn,-10.449289140808633,7.359603487607009
rudder_position,-34.25714657087192,22.878204759573773
